"id","user_id","device_name","device_id","created_at","is_active"
"1","1","Test GPS Tracker","test_gps_engine","2025-12-25 18:38:19","1"
"id","device_id","user_id","latitude","longitude","satellites","recorded_at"
"561","1","1","13.03770800","80.24852000","10","2026-01-19 17:57:37"
"562","1","1","13.03770200","80.24852000","10","2026-01-19 17:57:50"
"563","1","1","13.03770200","80.24851200","10","2026-01-19 17:58:04"
"564","1","1","13.03770200","80.24851200","11","2026-01-19 17:58:17"
"565","1","1","13.03770400","80.24851200","10","2026-01-19 17:58:31"
"566","1","1","13.03770600","80.24850500","10","2026-01-19 17:58:44"
"567","1","1","13.03770800","80.24850500","10","2026-01-19 17:58:58"
"568","1","1","13.03770800","80.24849700","12","2026-01-19 17:59:11"
"569","1","1","13.03770900","80.24849700","11","2026-01-19 17:59:24"
"570","1","1","13.03771200","80.24849700","10","2026-01-19 17:59:38"
"571","1","1","13.03771300","80.24848900","11","2026-01-19 17:59:51"
"572","1","1","13.03771000","80.24848900","10","2026-01-19 18:00:05"
"573","1","1","13.03770900","80.24848200","10","2026-01-19 18:00:18"
"574","1","1","13.03770900","80.24848200","11","2026-01-19 18:00:31"
"575","1","1","13.03770900","80.24848200","11","2026-01-19 18:00:44"
"576","1","1","13.03770700","80.24848900","11","2026-01-19 18:00:58"
"577","1","1","13.03770600","80.24848200","11","2026-01-19 18:01:11"
"578","1","1","13.03770700","80.24848200","10","2026-01-19 18:01:24"
"579","1","1","13.03771500","80.24847400","10","2026-01-19 18:01:37"
"580","1","1","13.03762800","80.24849700","16","2026-01-22 16:58:09"
"581","1","1","13.03762900","80.24849700","17","2026-01-22 16:58:23"
"582","1","1","13.03762900","80.24849700","17","2026-01-22 16:58:36"
"583","1","1","13.03762900","80.24849700","17","2026-01-22 16:58:50"
"584","1","1","13.03762900","80.24849700","17","2026-01-22 16:59:04"
"585","1","1","13.03762900","80.24849700","17","2026-01-22 16:59:18"
"586","1","1","13.03763000","80.24850500","17","2026-01-22 16:59:31"
"587","1","1","13.03763200","80.24850500","17","2026-01-22 16:59:44"
"588","1","1","13.03763300","80.24850500","17","2026-01-22 16:59:58"
"589","1","1","13.03763300","80.24850500","17","2026-01-22 17:00:12"
"590","1","1","13.03763300","80.24850500","17","2026-01-22 17:00:26"
"591","1","1","13.03763300","80.24850500","17","2026-01-22 17:00:39"
"592","1","1","13.03763300","80.24850500","17","2026-01-22 17:00:53"
"593","1","1","13.03763300","80.24850500","17","2026-01-22 17:01:06"
"594","1","1","13.03763300","80.24850500","17","2026-01-22 17:01:19"
"595","1","1","13.03763400","80.24850500","17","2026-01-22 17:01:33"
"596","1","1","13.03763400","80.24850500","17","2026-01-22 17:01:47"
"597","1","1","13.03763500","80.24850500","17","2026-01-22 17:02:00"
"598","1","1","13.03763500","80.24850500","17","2026-01-22 17:02:13"
"599","1","1","13.03763600","80.24850500","17","2026-01-22 17:02:26"
"600","1","1","13.03763600","80.24850500","17","2026-01-22 17:02:39"
"601","1","1","13.03763700","80.24850500","17","2026-01-22 17:02:52"
"602","1","1","13.03763700","80.24850500","17","2026-01-22 17:03:06"
"603","1","1","13.03770700","80.24846600","17","2026-01-22 17:03:20"
"604","1","1","13.03761500","80.24836700","15","2026-01-22 17:03:36"
"605","1","1","13.03766100","80.24854300","7","2026-01-22 17:10:16"
"606","1","1","13.03765800","80.24855000","7","2026-01-22 17:10:29"
"607","1","1","13.03766300","80.24852000","8","2026-01-22 17:10:42"
"608","1","1","13.03762700","80.24808500","8","2026-01-22 17:13:13"
"609","1","1","13.03768000","80.24883300","9","2026-01-22 17:13:20"
"610","1","1","13.03766900","80.24888600","7","2026-01-22 17:13:50"
"611","1","1","13.03765900","80.24894000","7","2026-01-22 17:14:36"
"612","1","1","13.03761300","80.24890100","8","2026-01-22 17:14:48"
"613","1","1","13.03760300","80.24887100","8","2026-01-22 17:15:02"
"614","1","1","13.03764100","80.24877900","10","2026-01-22 17:15:15"
